Asset A,Asset B,Normal SDD,SDD,Dummy Same Sector
BRK.B,CDNS,15118.10634757328,22.001255299757048,0
BRK.B,CZR,inf,2408.3844917742745,0
BRK.B,CPB,1851.7056651735713,16.857098168168932,0
BRK.B,COF,inf,104.38901200498468,1
BRK.B,CAH,557.8452958077637,5.319630679327023,0
BRK.B,KMX,inf,49.10480038028957,0
BRK.B,CCL,inf,76.80430844351433,0
BRK.B,CARR,inf,298.0831688242986,0
BRK.B,CTLT,inf,54.77094161778662,0
BRK.B,CAT,18174.826517264675,38.15704172272548,0
BRK.B,CBOE,1652.060546007462,18.458387838631776,1
BRK.B,CBRE,1119.3954648360238,26.861447252893598,0
BRK.B,CDW,11392.372429154733,5.704016125592936,0
BRK.B,CE,173035.2228076278,41.733919592702065,0
BRK.B,CNC,1822.1924811963058,21.390644511485068,0
BRK.B,CNP,109055.05496262523,4.77568806868517,0
BRK.B,CDAY,8624407.34254178,66.7983190218369,0
BRK.B,CERN,976.0727766049611,8.719968218518233,0
BRK.B,CF,964.255496037726,10.852724009231583,0
BRK.B,CRL,918691.6313565966,78.92692085709083,0
BRK.B,SCHW,822.3852474181786,15.100438584967533,1
BRK.B,CHTR,1565716.209835088,2.4496754902868427,0
BRK.B,CVX,1044.5966260426428,7.7136547914155065,0
BRK.B,CMG,166913.5204746828,21.02357307736956,0
BRK.B,CB,580.6370250739917,7.480333493019954,1
BRK.B,CHD,3137.2904608964845,5.132247373988274,0
BRK.B,CI,510.93675478882494,3.6806433977991064,0
BRK.B,CINF,1062.8574515875266,6.416719557296069,1
BRK.B,CTAS,inf,52.192456938009585,0
BRK.B,CSCO,937.305138408652,7.060988757864861,0
BRK.B,C,15775.71138932377,10.781191170932631,1
BRK.B,CFG,788530.1616950054,72.35630086386784,1
BRK.B,CTXS,1861.3566209841542,25.23693069787673,0
BRK.B,CLX,1433.843546386966,11.502450495190924,0
BRK.B,CME,1168.7624748671637,9.386929946499421,1
BRK.B,CMS,1409.0002196234375,12.253380125383158,0
BRK.B,KO,200.10691062594947,4.094465106719235,0
BRK.B,CTSH,6405.83195950142,9.40804605878234,0
BRK.B,CL,395.49833417736863,4.762230133927367,0
BRK.B,CMCSA,49643.01222956734,5.5478830419093,0
BRK.B,CMA,68636.5808678718,74.5568699429846,1
BRK.B,CAG,861.5559214178255,8.156401012910045,0
BRK.B,COP,539.5290117821933,7.493855486967016,0
BRK.B,ED,1975.5852378134339,26.273699570644695,0
BRK.B,STZ,101656.31779022717,3.9454713987885524,0
BRK.B,COO,116.32545409826088,0.9840146382734931,0
BRK.B,CPRT,inf,38.988890461266564,0
BRK.B,GLW,409069.7164869609,73.95295829163437,0
BRK.B,CTVA,3247.3628506794917,22.63872831991718,0
BRK.B,COST,905.4075201993412,3.886783105579558,0
