Asset A,Asset B,Normal SDD,SDD,Dummy Same Sector
ETH,MMM,253139.5592114096,133.0137306942308,0
ETH,AOS,inf,67.60997814889191,0
ETH,ABT,280654.0211267512,145.8306748218903,0
ETH,ABBV,112154.7501128003,129.32058237421035,0
ETH,ABMD,34158.14024254482,23.4111056334944,0
ETH,ACN,inf,72.63410189689274,0
ETH,ATVI,222631.18673392475,105.77385081298678,0
ETH,ADM,178080.5578566724,72.64909594370107,0
ETH,ADBE,34949.79898207313,76.40302731000345,0
ETH,ADP,275164.41516801075,147.34814487817988,0
ETH,AAP,inf,73.93607163078906,0
ETH,AES,188275.71538453092,32.91403625743808,0
ETH,AFL,277568.1697631782,134.39386312567063,0
ETH,A,37784.96234808971,59.55689292788452,0
ETH,AIG,inf,47.85949253241692,0
ETH,APD,82064.28412500289,103.13819519984702,0
ETH,AKAM,307915.26970210555,200.9698576819621,0
ETH,ALK,165909.15592281098,45.190753801091105,0
ETH,ALB,59552.701579147564,60.65665044477131,0
ETH,ARE,286788.22721948323,166.303712688495,0
ETH,ALGN,5153233.275422934,101.21225927064728,0
ETH,ALLE,84648470.15971552,139.13046539045558,0
ETH,LNT,306689.0924284351,197.97410700298076,0
ETH,ALL,309122.73613073525,204.32134406025594,0
ETH,GOOGL,93014.15282184871,80.250973901106,0
ETH,GOOG,109056.77338884171,80.31968096918504,0
ETH,MO,280793.81646179646,155.5909323451479,0
ETH,AMZN,169088.85198244994,92.16028940119138,0
ETH,AMCR,88406.77083333168,91.51258883413576,0
ETH,AMD,244081.06778622596,61.64936793070932,0
ETH,AEE,307546.2762361406,199.65668296005038,0
ETH,AAL,241410.15980484447,70.04803486274785,0
ETH,AEP,312593.7573620846,214.55494473049032,0
ETH,AXP,202803.44896421727,78.73030871367604,0
ETH,AMT,314835.28744439385,234.7908319925243,0
ETH,AWK,281527.39707668824,144.24937550257613,0
ETH,AMP,3178247.0872661257,29.192474122908894,0
ETH,ABC,212519.66924449618,134.88024633858913,0
ETH,AME,4343226.318452705,62.81877902210402,0
ETH,AMGN,298322.67522135493,189.323486259731,0
ETH,APH,289504.5340983709,111.39494140774025,0
ETH,ADI,1582300.6080728192,96.1820051941337,0
ETH,ANSS,214622.83431871462,108.62977333723589,0
ETH,ANTM,273040.0419142678,148.48528621003214,0
ETH,AON,269798.7001575553,146.78698907713812,0
ETH,APA,259702.45343649184,67.55369417993691,0
ETH,AAPL,319218.083664543,416.03896739757295,0
ETH,AMAT,217077.16646481946,67.93585726338733,0
ETH,APTV,inf,34.82127922124675,0
ETH,ANET,263733.6579765359,126.772868308625,0
ETH,AIZ,283670.65879351145,118.35787347192857,0
ETH,T,311174.7472813142,209.26236174805848,0
ETH,ATO,315720.0291197684,232.9244356817324,0
ETH,ADSK,5792545.092698466,58.51181705493361,0
