Asset A,Asset B,t-score,p-value,1% CV,5% CV,10% CV,Hurst Exponent,Half-life,Times Crossing the Mean,Dummy Same Label,Dummy Same Sector
CDNS,BRK.B,-3.381702757426498,0.04442376551173098,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.2144106400626661,-1784.7869905417508,14,0,0
CMG,BRK.B,-3.3925487794268787,0.04318483881595037,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.1713898817354338,-498.7250734018416,15,0,0
CMI,BRK.B,-3.3593994876293536,0.047064300380510626,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.20802527220356387,10.596327824154582,20,0,0
ETN,BRK.B,-3.748035291262923,0.015876526629358907,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.20325000342781227,-1124.119897172049,18,0,0
ECL,BRK.B,-4.032393704074983,0.006453255891077819,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.22557031600387822,260.9374865913374,16,0,0
EPAM,BRK.B,-3.425158077440189,0.03963202638646068,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.187727282641607,-190.32779718187538,19,0,0
FLT,BRK.B,-3.775303647467454,0.014618477614820862,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.16597035875200952,105.73374831265124,18,0,0
HSIC,BRK.B,-3.6025907353951667,0.024321334535602278,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.25816333928647817,-430.10086183017603,13,0,0
IEX,BRK.B,-3.5647649744501724,0.027069950785020405,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.1908961652740895,647.1647699470357,18,0,0
ITW,BRK.B,-3.4058151767413096,0.04170867583355915,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.21939657742986024,389.11966414254624,16,0,0
INTU,BRK.B,-3.656640191062321,0.020813236845657963,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.17080283299313095,-1459.6457028205893,23,0,0
BRK.B,IQV,-3.606902105723918,0.024023883228425268,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.1841360117171168,192.02553977752575,23,0,0
LOW,BRK.B,-3.700836052543856,0.018280101632347546,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.26225059475584794,211.31999578134327,16,0,0
MA,BRK.B,-4.346994095298487,0.002160610890442054,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.18270884252876168,-3595.161191622388,31,0,0
MDT,BRK.B,-3.391700230614631,0.043280719227732474,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.2290903538006546,-412.31136835903106,13,0,0
FB,BRK.B,-4.23629935012837,0.003211722961486748,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.18076429409264874,85.59378218108475,26,0,0
MSFT,BRK.B,-3.5709154369224936,0.0266056552572419,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.22581996839262028,14.11590766489101,18,0,0
MOH,BRK.B,-3.9983408605772435,0.007220518830579816,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.1893431881021477,26.558517681322655,19,0,0
NFLX,BRK.B,-4.033738489405004,0.006424529314379274,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.17335516702493628,575.7919404903342,34,0,0
NDSN,BRK.B,-3.6317418176770597,0.02237059722645577,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.23733975553207645,591.9332602983651,12,0,0
NSC,BRK.B,-4.931730845505257,0.00021938300673188298,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.12159175324747279,9.651026982833287,21,0,0
NVR,BRK.B,-3.6306520863959912,0.02244100576412611,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.1874394414674893,-427.7957017328193,19,0,0
NXPI,BRK.B,-3.3390609760005994,0.04958409517263846,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.1868931735741014,220.45683946129017,25,0,0
ODFL,BRK.B,-4.843583109868157,0.00031592469825984673,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.17656050538337192,30.813546574108383,33,0,0
PYPL,BRK.B,-3.454330183630612,0.03666439929320996,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.22776286598063852,15.312356039030966,27,0,0
ROK,BRK.B,-4.680380716544182,0.0006094550057680377,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.22967299208841202,45.87936895205903,16,0,0
ROP,BRK.B,-3.4829897080432994,0.033933399389493975,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.2514026621534689,-16180.125641432096,18,0,0
RCL,BRK.B,-3.9562820063064867,0.008281286481173189,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.1926405570448932,-850.605295638581,20,0,0
SWKS,BRK.B,-3.788618492495707,0.01403677615601905,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.23180390890464125,259.6976319225137,14,0,0
TROW,BRK.B,-3.370269283201283,0.0457616155186583,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.2857926153800339,263402.6807358371,18,0,1
TRMB,BRK.B,-3.575199309551002,0.026286321914783695,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.22037104980747022,-867.1477450604779,13,0,0
UNP,BRK.B,-3.848098070754734,0.011680725819155793,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.18963559933956683,263.3118175011622,24,0,0
V,BRK.B,-4.755560860182613,0.00045162591161656846,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.20512563977121126,342.56837726539686,14,0,0
WELL,BRK.B,-3.493965168040552,0.03293412561198517,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.19570372778904863,-517.2614193943724,15,0,0
ZBH,BRK.B,-4.847653626468614,0.00031069528010323335,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.18937936588105192,-1556.5801011566373,22,0,0
BIIB,BBY,-3.6657674674787324,0.020266413132237593,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.08090071914077823,183.48273614981457,19,0,0
CPB,BBY,-3.614925119541054,0.023478710103695427,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.19044702028569171,-376.4781139673906,13,0,0
CNC,BBY,-4.105225578342957,0.005054366341329988,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.18893874138410197,-544.6230475915335,13,0,0
CHTR,BBY,-3.553596790325766,0.02793081126293312,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.17518146356956102,-1020.0200897196863,23,0,0
BBY,CINF,-3.374155885354226,0.04530313962728825,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.23481354298428592,98.67094825254608,16,0,0
BBY,DHR,-3.3570972396321515,0.047344111085174785,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.16084663454688647,-466.1398253666489,17,0,0
FTV,BBY,-3.4188861326053073,0.040295683846054337,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.23424983605142158,-1378.9666967775754,15,0,0
BBY,HSY,-4.173894368714094,0.0039943334199956234,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.18504240276203268,117.89845440569994,20,0,0
BBY,MCD,-3.869134960034576,0.010935778329920973,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.20564234424395025,1950.2415229103524,22,0,1
FB,BBY,-4.025085561525799,0.006611410686307214,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.14312910416181238,-749.6179860310577,35,0,0
NFLX,BBY,-3.729025336540553,0.016808983719085985,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.1512238207063593,3005.858388212258,32,0,0
O,BBY,-3.6388202707541666,0.02191789406804713,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.21151800785607916,-1208.4857376350437,13,0,0
BBY,SJM,-3.356049883423537,0.04747185893567049,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.1612350343100757,23.553024576965125,24,0,0
BBY,UPS,-3.799938529660514,0.013558409478239629,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.22339644345348358,-1410.6666856414013,21,0,0
WST,BBY,-3.9441567360739254,0.008612098019226218,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.17754136638320073,-353.89521250052,33,0,0
BBY,ZTS,-3.9388943849297524,0.008759326541585259,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.1683861741998669,367.3287847505533,30,0,0
BIO,CAT,-3.3735921573270677,0.04536940164029012,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.21012041665982867,-1365.5234325591412,17,0,0
CPRT,BIO,-3.3775623818834455,0.04490443727440163,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.19775582517286494,-599.0158727846823,13,0,0
BIO,CMI,-3.544456155426888,0.028652729452422664,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.21406391663620364,-1153.653853781101,17,0,0
BIO,DRI,-3.3405980004457265,0.0493898657593475,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.20479515857033648,-789.8461911653382,17,0,0
BIO,ETN,-3.4269038308938327,0.03944893901723295,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.21605468839177325,-681.1229296781772,17,0,0
BIO,EMR,-3.442860235390365,0.03780811543486796,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.21020222646146058,-592.1526235057489,13,0,0
FLT,BIO,-3.5272073338136454,0.030058537426137576,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.20735484346678812,-774.8941437140559,19,0,0
BIO,HAS,-3.6726710037017765,0.019861161776225905,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.212981403462787,-519.4437574939753,13,0,0
BIO,IDXX,-4.169427784185624,0.004056552211659612,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.16916738469403436,145.18173388938763,17,0,1
BIO,ITW,-3.440597877585273,0.03803720958233881,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.21037825479162212,-641.231607188737,21,0,0
ISRG,BIO,-3.500544876395472,0.03234711684557291,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.16911838561258205,733.8007727197811,27,0,1
BIO,IPGP,-3.659180924698875,0.02065974554607278,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.17205216875398363,-902.8080685574214,27,0,0
BIO,MLM,-3.5197411758601733,0.030685044613695957,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.2035591628667041,2266.630706606639,25,0,0
FB,BIO,-3.7083920355463844,0.01787512419016794,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.2247699488885323,-1017.3674572329885,19,0,0
MOH,BIO,-3.4036253688151423,0.04194939565204743,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.20649726493905526,-785.146072365508,27,0,1
BIO,MPWR,-4.030194348892433,0.006500487942882505,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.17374188353395906,1615.2078886466604,25,0,0
BIO,MSI,-4.269450038064276,0.002855849983124146,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.20821407101624434,-521.4317993733406,21,0,0
NFLX,BIO,-4.406780364887303,0.0017354335697090295,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.1891781248066707,29.457601111056167,23,0,0
BIO,PPG,-3.7351032720592685,0.01650575906427831,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.21463919961038863,-807.6663338201523,17,0,0
BIO,PWR,-3.6936892700939232,0.018670506118871288,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.21028062483281362,-728.968328634815,23,0,0
ROK,BIO,-4.415556381296382,0.0016800061022015248,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.20596513379016443,-847.5448838962449,19,0,0
NOW,BIO,-3.9266190174408275,0.009111579388310106,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.1977485551877782,42.24391599462976,18,0,0
BIO,SEDG,-4.077647217634806,0.005547892133011492,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.2214267613705849,1549.171077879406,22,0,0
BIO,SYK,-3.6283906393394623,0.022587732594301725,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.19687881182341094,-761.3335237065241,27,0,1
BIO,TGT,-3.5954900081539507,0.024818155823073867,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.2163028150856049,-887.4972524429124,23,0,0
BIO,TEL,-3.6097887788050596,0.023826484715504886,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.21518440003784395,-670.4128423540303,23,0,0
BIO,TT,-3.5927006127574197,0.025015702645435733,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.21209101662731794,-869.6980525966871,15,0,0
BIO,TYL,-3.5572207690906184,0.02764893504835393,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.15843836730180064,1382.7082089297921,23,0,0
BIO,UNP,-3.379970797001591,0.04462431286796517,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.22044796608935938,-655.6267445882268,21,0,0
BIO,UHS,-3.4855831574893648,0.033694988636319034,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.2001211344428692,-600.968373484875,15,0,1
BIO,VFC,-3.4826967466772656,0.03396042029712172,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.21314565612659436,-571.049235825207,13,0,0
BIO,VMC,-3.7903154399564594,0.013964128664445305,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.2065254207713599,-699.971276194294,13,0,0
BIO,XYL,-4.256257169372896,0.002992885137424967,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.20684619090692113,-583.91796962491,13,0,0
BA,TECH,-4.866460958416224,0.00028758082763146803,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.2457802936925167,-408.56991093899217,13,0,0
BMY,TECH,-4.1607260229874,0.004180319268549762,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.18432351768589716,-211.10810472791204,13,0,1
COF,TECH,-3.4931105235999853,0.033011031620660075,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.18868977200102482,-324.7843276501035,17,0,0
CMA,TECH,-3.351472264054229,0.0480335459482184,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.18931438537193462,-263.04479014782254,15,0,0
CVS,TECH,-3.3473435564804106,0.04854484472573088,-3.940251928010124,-3.3603871872705398,-3.061256130387914,0.17903612828263626,-217.77560911142984,13,0,1
